symbol,ts_code,name,in_pool
000002,000002.SZ,万科A,1
000063,000063.SZ,中兴通讯,1
000333,000333.SZ,美的集团,1
000538,000538.SZ,云南白药,1
000567,000567.SZ,海德股份,1
000568,000568.SZ,泸州老窖,1
000651,000651.SZ,格力电器,1
000733,000733.SZ,振华科技,1
000796,000796.SZ,凯撒旅业,1
000858,000858.SZ,五粮液,1
000988,000988.SZ,华工科技,1
000997,000997.SZ,新大陆,1
001283,001283.SZ,豪鹏科技,1
001339,001339.SZ,智微智能,1
001389,001389.SZ,广合科技,1
002001,002001.SZ,新和成,1
002017,002017.SZ,东信和平,1
002032,002032.SZ,苏泊尔,1
002044,002044.SZ,美年健康,1
002050,002050.SZ,三花智控,1
002074,002074.SZ,国轩高科,1
002130,002130.SZ,沃尔核材,1
002131,002131.SZ,利欧股份,1
002222,002222.SZ,福晶科技,1
002241,002241.SZ,歌尔股份,1
002245,002245.SZ,蔚蓝锂芯,1
002262,002262.SZ,恩华药业,1
002270,002270.SZ,华明装备,1
002281,002281.SZ,光迅科技,1
002292,002292.SZ,奥飞娱乐,1
002315,002315.SZ,焦点科技,1
002335,002335.SZ,科华数据,1
002351,002351.SZ,漫步者,1
002371,002371.SZ,北方华创,1
002380,002380.SZ,科远智慧,1
002386,002386.SZ,天原股份,1
002407,002407.SZ,多氟多,1
002428,002428.SZ,云南锗业,1
002444,002444.SZ,巨星科技,1
002463,002463.SZ,沪电股份,1
002465,002465.SZ,海格通信,1
002472,002472.SZ,双环传动,1
002484,002484.SZ,江海股份,1
002533,002533.SZ,金杯电工,1
002555,002555.SZ,三七互娱,1
002557,002557.SZ,洽洽食品,1
002594,002594.SZ,比亚迪,1
002633,002633.SZ,申科股份,1
002709,002709.SZ,天赐材料,1
002837,002837.SZ,英维克,1
002851,002851.SZ,麦格米特,1
002882,002882.SZ,金龙羽,1
002884,002884.SZ,凌霄泵业,1
002896,002896.SZ,中大力德,1
002897,002897.SZ,意华股份,1
002915,002915.SZ,中欣氟材,1
002920,002920.SZ,德赛西威,1
002937,002937.SZ,兴瑞科技,1
002947,002947.SZ,恒铭达,1
002959,002959.SZ,小熊电器,1
002965,002965.SZ,祥鑫科技,1
002979,002979.SZ,雷赛智能,1
002991,002991.SZ,甘源食品,1
003000,003000.SZ,劲仔食品,1
003021,003021.SZ,兆威机电,1
300003,300003.SZ,乐普医疗,1
300007,300007.SZ,汉威科技,1
300015,300015.SZ,爱尔眼科,1
300058,300058.SZ,蓝色光标,1
300059,300059.SZ,东方财富,1
300100,300100.SZ,双林股份,1
300124,300124.SZ,汇川技术,1
300170,300170.SZ,汉得信息,1
300206,300206.SZ,理邦仪器,1
300207,300207.SZ,欣旺达,1
300229,300229.SZ,拓尔思,1
300271,300271.SZ,华宇软件,1
300279,300279.SZ,和晶科技,1
300308,300308.SZ,中际旭创,1
300360,300360.SZ,炬华科技,1
300378,300378.SZ,鼎捷数智,1
300395,300395.SZ,菲利华,1
300398,300398.SZ,飞凯材料,1
300409,300409.SZ,道氏技术,1
300435,300435.SZ,中泰股份,1
300442,300442.SZ,润泽科技,1
300450,300450.SZ,先导智能,1
300457,300457.SZ,赢合科技,1
300458,300458.SZ,全志科技,1
300476,300476.SZ,胜宏科技,1
300502,300502.SZ,新易盛,1
300515,300515.SZ,三德科技,1
300558,300558.SZ,贝达药业,1
300563,300563.SZ,神宇股份,1
300576,300576.SZ,容大感光,1
300580,300580.SZ,贝斯特,1
300595,300595.SZ,欧普康视,1
300604,300604.SZ,长川科技,1
300638,300638.SZ,广和通,1
300662,300662.SZ,科锐国际,1
300682,300682.SZ,朗新集团,1
300695,300695.SZ,兆丰股份,1
300718,300718.SZ,长盛轴承,1
300729,300729.SZ,乐歌股份,1
300748,300748.SZ,金力永磁,1
300750,300750.SZ,宁德时代,1
300757,300757.SZ,罗博特科,1
300760,300760.SZ,迈瑞医疗,1
300773,300773.SZ,拉卡拉,1
300793,300793.SZ,佳禾智能,1
300811,300811.SZ,铂科新材,1
300852,300852.SZ,四会富仕,1
300857,300857.SZ,协创数据,1
300866,300866.SZ,安克创新,1
300870,300870.SZ,欧陆通,1
300896,300896.SZ,爱美客,1
300913,300913.SZ,兆龙互连,1
300916,300916.SZ,朗特智能,1
300957,300957.SZ,贝泰妮,1
301061,301061.SZ,匠心家居,1
301128,301128.SZ,强瑞技术,1
301171,301171.SZ,易点天下,1
301172,301172.SZ,君逸数码,1
301239,301239.SZ,普瑞眼科,1
301252,301252.SZ,同星科技,1
301280,301280.SZ,珠城科技,1
301326,301326.SZ,捷邦科技,1
301330,301330.SZ,熵基科技,1
301349,301349.SZ,信德新材,1
301389,301389.SZ,隆扬电子,1
301511,301511.SZ,德福科技,1
301598,301598.SZ,博科测试,1
301628,301628.SZ,强达电路,1
301662,301662.SZ,宏工科技,1
600036,600036.SH,招商银行,1
600048,600048.SH,保利发展,1
600114,600114.SH,东睦股份,1
600210,600210.SH,紫江企业,1
600309,600309.SH,万华化学,1
600363,600363.SH,联创光电,1
600372,600372.SH,中航机载,1
600378,600378.SH,昊华科技,1
600406,600406.SH,国电南瑞,1
600519,600519.SH,贵州茅台,1
600549,600549.SH,厦门钨业,1
600570,600570.SH,恒生电子,1
600588,600588.SH,用友网络,1
600660,600660.SH,福耀玻璃,1
600872,600872.SH,中炬高新,1
600873,600873.SH,梅花生物,1
600887,600887.SH,伊利股份,1
601012,601012.SH,隆基绿能,1
601020,601020.SH,华钰矿业,1
